station_id,lat,lon,capacity
1,41.17879110186967,-8.58450096703521,340
2,41.1791738858791,-8.667626845875473,218
3,41.15516438058538,-8.60656642862715,171
4,41.15055142909852,-8.687197880250935,242
5,41.1866552808835,-8.692247741824708,396
6,41.186707937627546,-8.620296805264777,344
7,41.19069506230061,-8.618904731758484,225
8,41.193926838678955,-8.604385514775268,303
9,41.165793967920266,-8.591086299941601,293
10,41.165106140628104,-8.55362218808062,328
11,41.18588066252768,-8.622554947754821,378
12,41.175497475154444,-8.651556529058812,235
13,41.179137681408044,-8.580722070784695,334
14,41.18570548686053,-8.659375162310688,178
15,41.19230037392723,-8.634154286894155,355
16,41.15365966097961,-8.68823154279866,369
17,41.1562908066848,-8.69619738848768,218
18,41.136578735788866,-8.555602737798312,196
19,41.17047960986974,-8.574602981923169,390
20,41.13251595916577,-8.595603869085945,243
21,41.16259186126928,-8.63865705833786,387
22,41.167985124429535,-8.674005851989373,339
23,41.150057887648984,-8.676534443599337,393
24,41.17135832823983,-8.66246356527531,346
25,41.132135017495735,-8.617616000294081,353
26,41.13261437321245,-8.592810611594992,293
27,41.18758203924618,-8.600970393492341,367
28,41.15521334489879,-8.658009915458107,367
29,41.13889423588564,-8.556770207900522,325
30,41.16655702820384,-8.589315462495636,234
