zone_id,station_id,distance
1,1,2946.4513981552864
1,2,11074.389294727096
1,3,4001.2545396156565
1,4,12964.902343846397
1,5,13926.21250722859
1,6,6478.004498781149
1,7,6593.40159337987
1,8,5624.823677251726
1,9,2516.739607545387
1,10,2120.7341631035456
1,11,6647.049756727866
1,12,9244.558878668724
1,13,2784.1036368331766
1,14,10390.328668105123
1,15,8118.51798782542
1,16,13067.458803251893
1,17,13948.584516449864
1,18,2738.4630857954703
1,19,1646.2151061884902
1,20,3829.5025991007565
1,21,7594.63378719382
1,22,11559.355433893794
1,23,11785.845775046753
1,24,10341.597195198985
1,25,5870.052987300218
1,26,3602.5407231173
1,27,4851.169173665769
1,28,9710.412775853001
1,29,2455.990115543529
1,30,2379.713002808165
2,1,3138.706994007716
2,2,7053.3273609018015
2,3,4593.808930041725
2,4,10309.960744446045
2,5,9580.576535513019
2,6,1880.696301375761
2,7,1522.0633606510692
2,8,374.35795659327107
2,9,3818.913944680159
2,10,6829.286070648611
2,11,2139.23984122258
2,12,5519.752009985444
2,13,3453.4431901753524
2,14,5990.7388465586255
2,15,3105.078657763836
2,16,10244.983216424707
2,17,10912.760468572367
2,18,8731.419461759886
2,19,4573.175754960336
2,20,7210.045438102893
2,21,5190.8281823684465
2,22,8135.837577417833
2,23,9330.340875029362
2,24,6811.774343989365
2,25,7255.646619884725
2,26,7257.828626131086
2,27,1169.7700413950593
2,28,7330.57862084294
2,29,8451.879084401302
2,30,3837.2433551716513
3,1,7315.990456693737
3,2,1929.702900342431
3,3,5658.013768417451
3,4,5321.5229110472965
3,5,4687.656434792513
3,6,3392.348017652606
3,7,3646.4358965678484
3,8,5294.487004446453
3,9,6799.659425734295
3,10,10886.783982022362
3,11,3129.6393791106443
3,12,650.9443255208414
3,13,7733.917983823332
3,14,1116.2099869386193
3,15,2178.367795474954
3,16,5199.854604258259
3,17,5792.266494963253
3,18,11628.294057974887
3,19,8494.006303990658
3,20,8136.2354423715
3,21,2444.0680066170867
3,22,3008.399724214363
3,23,4518.561675583401
3,24,1733.9008985127366
3,25,6551.608964055022
3,26,8363.356169692102
3,27,5527.8482129960885
3,28,3010.9553670656474
3,29,11402.87629237369
3,30,6969.756567659639
4,1,11786.947781223971
4,2,2660.434201258889
4,3,9496.479500082743
4,4,2397.969798591176
4,5,1649.05897323309
4,6,7960.213291975826
4,7,8212.556770365922
4,8,9862.651850375649
4,9,11052.017581143651
4,10,15208.43237986285
4,11,7696.097725789371
4,12,4337.337186821372
4,13,12208.022108138392
4,14,3775.76060731941
4,15,6647.9303568268915
4,16,2040.487428122502
4,17,1846.3513652164293
4,18,15474.924171581082
4,19,12861.7971599471
4,20,11401.409479408292
4,21,5843.016178997647
4,22,1878.2256848154334
4,23,2876.2481300104287
4,24,3108.8923447737884
4,25,9212.931146023251
4,26,11684.27913175815
4,27,10085.278911495781
4,28,4051.213147353496
4,29,15285.95898087037
4,30,11243.42544491516
5,1,8722.280847256125
5,2,4532.026250628997
5,3,5428.58761206866
5,4,3905.936518250325
5,5,6664.091496426915
5,6,6268.409636317591
5,7,6719.018167288164
5,8,8009.991903955673
5,9,7442.587608927826
5,10,11390.932094509486
5,11,6049.084922566143
5,12,3843.129727748518
5,13,9109.910543668644
5,14,5015.792157448645
5,15,6088.211834348212
5,16,4121.677909484129
5,17,5052.503767258123
5,18,10860.942225882613
5,19,9336.679665228845
5,20,6477.657704420365
5,21,2906.363857133784
5,22,3778.9020560327854
5,23,2765.8220373177587
5,24,3526.62414476451
5,25,4084.9011986136998
5,26,6783.129749445762
5,27,7786.7311850942315
5,28,1668.5205820053825
5,29,10723.01220139386
5,30,7656.547890548285
6,1,8515.959206830114
6,2,4620.176348446687
6,3,5202.903046125828
6,4,4133.9113473118805
6,5,6819.792784379822
6,6,6133.158384470399
6,7,6587.486005322886
6,8,7851.607542098138
6,9,7223.615392701498
6,10,11161.329660701713
6,11,5918.834251297886
6,12,3838.3213998561364
6,13,8901.43268969962
6,14,5052.926859941688
6,15,6009.710780704234
6,16,4344.594249890295
6,17,5275.728447887106
6,18,10624.725233646554
6,19,9115.759030623094
6,20,6243.741365394788
6,21,2780.7140878098908
6,22,3926.9892030774927
6,23,2987.121995927546
6,24,3601.734813367386
6,25,3855.658322574195
6,26,6548.930361208219
6,27,7611.92653627141
6,28,1756.3962486481382
6,29,10486.614759912105
6,30,7437.628188196685
7,1,5009.837840899792
7,2,9912.104984353982
7,3,2939.684272760485
7,4,10881.869158633872
7,5,12707.55287078313
7,6,6711.161154059253
7,7,7029.32749011434
7,8,6819.509836990962
7,9,3522.306970988939
7,10,5355.485952903297
7,11,6759.627039404795
7,12,8184.900160217269
7,13,5120.742136651764
7,14,9550.068647378794
7,15,8074.669878384382
7,16,11057.644074867121
7,17,11982.552680619403
7,18,3890.1659445057485
7,19,4412.942544559172
7,20,585.8038589354866
7,21,6207.2221519270115
7,22,9998.556819695465
7,23,9706.954432245386
7,24,8990.98951261027
7,25,3010.956435617616
7,26,297.35195103722003
7,27,6051.666449596524
7,28,7846.398770026946
7,29,3788.663838006715
7,30,3609.161276326438
8,1,2567.0757948454275
8,2,7136.171420652899
8,3,3944.509074124218
8,4,10214.133018533343
8,5,9764.815042797867
8,6,1821.1420888895543
8,7,1613.7721462109973
8,8,365.69660916122297
8,9,3126.388940591231
8,10,6305.111980892837
8,11,2086.6889033527877
8,12,5500.914154980266
8,13,2918.224148364979
8,14,6130.416541003999
8,15,3311.637719829509
8,16,10173.526302298022
